date,session_name,num_players,total_time,time_used,num_drills,drill_ids,drill_names,categories,notes,created_at
2025-11-17,Monday Technical Focus,14,90,80.0,4,"WU_002,TECH_001,TAC_001,TAC_002",Tag + Turns | Wall Pass Circuit | Creating Overloads | Building From Back,"Warmup,Tactical,Technical",Focus on passing accuracy and first touch. Working towards Saturday's game.,2025-11-17 12:46:17
2025-11-17,Monday Technical Focus,14,90,75.0,4,"WU_004,TAC_003,TAC_004,TAC_005",Mirror Movements | Pressing Triggers | Transition Moments | Wide Channel Decision Play,"Warmup,Tactical",Focus on passing accuracy and first touch. Working towards Saturday's game.,2025-11-17 14:32:24
2025-11-17,Monday Technical Focus,14,90,80.0,4,"WU_001,TECH_001,TAC_003,TAC_004",Dynamic Ball Mastery | Wall Pass Circuit | Pressing Triggers | Transition Moments,"Warmup,Tactical,Technical",Focus on passing accuracy and first touch. Working towards Saturday's game.,2025-11-17 14:48:15
