school_name,conference,region,state,division,gender,program_url,ncaa_id
Wake Forest,ACC,,,D1,W,https://godeacs.com/sports/womens-soccer/coaches,
Washington,Big Ten,,,D1,W,https://gohuskies.com/sports/womens-soccer/coaches,
Washington State,Pac-12,,,D1,W,https://gohuskies.com/sports/womens-soccer/coaches,
Weber State,Big Sky,,,D1,W,,
West Florida,ASUN,,,D1,W,,
West Georgia,UAC,,,D1,W,https://georgiastatesports.com/sports/womens-soccer/roster,
West Virginia,Big 12,,,D1,W,https://wvusports.com/sports/womens-soccer/coaches,
Western Carolina,Southern,,,D1,W,https://catamountsports.com/sports/womens-soccer/roster,
Western Illinois,Ohio Valley,,,D1,W,https://goleathernecks.com/sports/womens-soccer/roster,
Western Kentucky,CUSA,,,D1,W,https://ukathletics.com/sports/wsoc/roster,
Western Michigan,MAC,,,D1,W,https://wmubroncos.com/sports/womens-soccer/roster,
William & Mary,CAA,,,D1,W,https://tribeathletics.com/sports/womens-soccer/roster,
Winthrop,Big South,,,D1,W,https://winthropeagles.com/sports/womens-soccer/roster,
Wisconsin,Big Ten,,,D1,W,https://uwbadgers.com/sports/womens-soccer/coaches,
Wofford,Southern,,,D1,W,https://woffordterriers.com/sports/womens-soccer/roster,
Wright State,Horizon,,,D1,W,https://wsuraiders.com/sports/womens-soccer/coaches,
Wyoming,Mountain West,,,D1,W,,
Xavier,Big East,,,D1,W,https://goxavier.com/sports/womens-soccer/coaches,
Yale,Ivy League,,,D1,W,,
Youngstown State,Horizon,,,D1,W,,
