short_name,school_name,athletics_domain
Le Moyne,Le Moyne College,https://lemoynedolphins.com
Lehigh,Lehigh University,https://lehighsports.com
Liberty,Liberty University,https://libertyflames.com
Lindenwood,Lindenwood University,http://lindenwoodlions.com
Lipscomb,Lipscomb University,https://lipscombsports.com
Little Rock,Little Rock,https://littlerocktrojans.com
LIU,LIU,https://liuathletics.com
Long Beach State,Long Beach State,https://longbeachstate.com
Longwood,Longwood University,https://longwoodlancers.com
Louisiana,Louisiana,https://ragincajuns.com
Louisiana Tech,Louisiana Tech,https://latechsports.com
Louisiana–Monroe,Louisiana–Monroe,https://warhawksports.com
Louisville,University of Louisville,https://gocards.com
Loyola Chicago,Chicago State University,https://gocsucougars.com
Loyola (MD),Loyola (MD),https://loyolaredhounds.com
Loyola Marymount,Loyola Marymount University,https://lmulions.com
LSU,LSU,https://lsusports.net
Maine,Maine,https://goblackbears.com
Manhattan,Manhattan University,https://gojaspers.com
Marist,Marist University,https://goredfoxes.com
Marquette,Marquette University,https://gomarquette.com
Marshall,Marshall University,https://herdzone.com
Maryland,Maryland,https://umterps.com
McNeese,McNeese,https://mcneesesports.com
Memphis,University of Memphis,https://gotigersgo.com
Mercer,Mercer University,https://mercerbears.com
Mercyhurst,Mercyhurst University,http://hurstathletics.com
Merrimack,Merrimack College,https://merrimackathletics.com
Miami (FL),Miami (FL),https://hurricanesports.com
Miami (OH),Miami (OH),https://miamiredhawks.com
Michigan,University of Michigan,https://mgoblue.com
Michigan State,University of Michigan,https://mgoblue.com
Middle Tennessee,Middle Tennessee,https://goblueraiders.com
Milwaukee,University of Wisconsin–Milwaukee,https://mkepanthers.com
Minnesota,Minnesota,https://gophersports.com
Mississippi State,Mississippi State,https://hailstate.com
Missouri,Missouri State University,https://missouristatebears.com
Missouri State,Missouri State University,https://missouristatebears.com
Monmouth,Monmouth University,https://monmouthhawks.com
Montana,Montana,https://gogriz.com
Morehead State,Morehead State,https://msueagles.com
Mount St. Mary's,Mount St. Mary's University,https://mountathletics.com
Murray State,Murray State,https://goracers.com
Navy,Navy,https://navysports.com
NC State,NC State,https://gopack.com
Nebraska,University of Nebraska Omaha,https://omavs.com
Nevada,"University of Nevada, Las Vegas",https://unlvrebels.com
New Hampshire,University of New Hampshire,https://unhwildcats.com
New Haven,University of New Haven,https://newhavenchargers.com
New Mexico,New Mexico,https://golobos.com
New Mexico State,New Mexico State,https://nmsusports.com
Niagara,Niagara University,https://purpleeagles.com
Nicholls,Nicholls,https://nicholls.edu
NJIT,NJIT,https://njithighlanders.com
North Alabama,North Alabama,https://roarlions.com
North Carolina,North Carolina State University,https://gopack.com
North Dakota,North Dakota,https://ndathletics.com
North Dakota State,North Dakota State,https://gobison.com
North Florida,University of North Florida,https://unfospreys.com
North Texas,North Texas,https://meangreensports.com
Northeastern,Northeastern University,https://nuhuskies.com
Northern Arizona,Northern Arizona,https://nauathletics.com
Northern Colorado,Northern Colorado,https://uncathletics.com
Northern Illinois,Northern Illinois University,https://niuhuskies.com
Northern Iowa,Northern Iowa,https://unipanthers.com
Northern Kentucky,Northern Kentucky University,https://nkunorse.com
Northwestern,Northwestern University,https://nusports.com
Northwestern State,Northwestern University,https://nusports.com
Notre Dame,University of Notre Dame,https://fightingirish.com
Oakland,Oakland University,https://goldengrizzlies.com
Ohio,Ohio State University,https://ohiostatebuckeyes.com
Ohio State,Ohio State University,https://ohiostatebuckeyes.com
Oklahoma,Oklahoma,https://soonersports.com
Oklahoma State,Oklahoma State,https://okstate.com
Old Dominion,Old Dominion,https://odusports.com
Ole Miss,Ole Miss,https://olemisssports.com
Omaha,University of Nebraska Omaha,https://omavs.com
Oral Roberts,Oral Roberts University,https://oruathletics.com
Oregon,Oregon State University,https://osubeavers.com
Oregon State,Oregon State University,https://osubeavers.com
Pacific,University of the Pacific,https://pacifictigers.com
Penn,Penn,https://pennathletics.com
Penn State,Penn State,https://gopsusports.com
Pepperdine,Pepperdine,https://pepperdinewaves.com
Pittsburgh,Pittsburgh,https://pittsburghpanthers.com
Portland,University of Portland,https://portlandpilots.com
Portland State,University of Portland,https://portlandpilots.com
Prairie View A&M,Prairie View A&M,https://pvpanthersports.com
Presbyterian,Presbyterian College,http://gobluehose.com
Princeton,Princeton University,https://goprincetontigers.com
Providence,Providence College,https://friars.com
Purdue,Purdue University Fort Wayne,http://gomastodons.com
Purdue Fort Wayne,Purdue University Fort Wayne,http://gomastodons.com
Queens,Queens University of Charlotte,http://queensathletics.com
Quinnipiac,Quinnipiac University,https://gobobcats.com
Radford,Radford University,https://radfordathletics.com
Rhode Island,University of Rhode Island,http://gorhody.com
Rice,Rice,https://riceowls.com
Richmond,Richmond,https://richmondspiders.com
Rider,Rider University,https://gobroncs.com
Robert Morris,Robert Morris University,https://rmucolonials.com
Rutgers,Rutgers University–New Brunswick,https://scarletknights.com
Sacramento State,"California State University, Sacramento",https://hornetsports.com
Sacred Heart,Sacred Heart University,https://sacredheartpioneers.com
St. Bonaventure,St. Bonaventure University,https://gobonnies.com
St. John's,St. John's University,https://redstormsports.com
Saint Joseph's,Saint Joseph's University,https://sjuhawks.com
Saint Louis,Saint Louis University,https://slubillikens.com
Saint Mary's,Saint Mary's College of California,https://smcgaels.com
Saint Peter's,Saint Peter's University,https://saintpeterspeacocks.com
St. Thomas,University of St. Thomas,https://tommiesports.com
Sam Houston,Sam Houston,https://gobearkats.com
Samford,Samford,https://samfordsports.com
San Diego,San Diego,https://usdtoreros.com
San Diego State,San Diego State University,https://goaztecs.com
San Francisco,University of San Francisco,https://usfdons.com
San Jose State,San Jose State University,https://sjsuspartans.com
Santa Clara,Santa Clara University,https://santaclarabroncos.com
Seattle,Seattle University,https://goseattleu.com
Seton Hall,Seton Hall University,https://shupirates.com
Siena,Siena University,https://sienasaints.com
SIU Edwardsville,SIU Edwardsville,https://siuecougars.com
